"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.777472239E0,-1.406250095E1,-4.396875000E1,-8.681250572E0,4.697200252E1
1.787472239E0,-1.406250095E1,-4.396875000E1,-8.681250572E0,4.697200252E1
1.797472239E0,-1.421250057E1,-4.402500153E1,-8.718750000E0,4.707666655E1
1.807472239E0,-1.413750076E1,-4.400625229E1,-8.475000381E0,4.699196527E1
1.817472239E0,-1.419375038E1,-4.410000229E1,-8.456250191E0,4.709332138E1
1.827472239E0,-1.402500057E1,-4.381875229E1,-8.493750572E0,4.678597538E1
1.837472239E0,-1.374375057E1,-4.357500076E1,-8.437500000E0,4.646356398E1
1.847472239E0,-1.374375057E1,-4.353750229E1,-8.531250000E0,4.644552736E1
1.857472239E0,-1.368750095E1,-4.359375000E1,-8.475000381E0,4.647137133E1
1.867472239E0,-1.376250076E1,-4.383750153E1,-8.418750763E0,4.671197204E1
1.877472239E0,-1.381875038E1,-4.400625229E1,-8.418750763E0,4.688692213E1
1.887472239E0,-1.368750095E1,-4.393125153E1,-8.437500000E0,4.678134189E1
1.897472239E0,-1.366875076E1,-4.391250229E1,-8.362500191E0,4.674477526E1
1.907472239E0,-1.383750057E1,-4.400625229E1,-8.250000000E0,4.686244939E1
1.917472239E0,-1.393125057E1,-4.406250000E1,-8.025000572E0,4.690399005E1
1.927472239E0,-1.387500095E1,-4.393125153E1,-8.025000572E0,4.676399412E1
1.937472239E0,-1.380000019E1,-4.370625305E1,-8.212500572E0,4.656309404E1
1.947472239E0,-1.368750095E1,-4.363125229E1,-8.325000763E0,4.647945241E1
1.957472239E0,-1.376250076E1,-4.365000153E1,-8.475000381E0,4.654626400E1
1.967472239E0,-1.374375057E1,-4.350000000E1,-8.643750191E0,4.643118669E1
1.977472239E0,-1.387500095E1,-4.355625153E1,-8.962500572E0,4.658314196E1
1.987472239E0,-1.404375076E1,-4.340625000E1,-9.056250572E0,4.651177430E1
1.997472239E0,-1.447500038E1,-4.314375305E1,-8.831250191E0,4.635622982E1
2.007472239E0,-1.477500057E1,-4.320000076E1,-8.868750572E0,4.651016496E1
2.017472239E0,-1.496250057E1,-4.333125305E1,-8.737500191E0,4.666709573E1
2.027472239E0,-1.657500076E1,-4.451250076E1,-5.868750095E0,4.785954035E1
2.037472239E0,-1.657500076E1,-4.436250305E1,-5.925000191E0,4.772701493E1
2.047472239E0,-1.693125153E1,-4.447500229E1,-5.943750381E0,4.795853704E1
2.057472239E0,-1.680000114E1,-4.432500076E1,-6.018750191E0,4.778253954E1
2.067472239E0,-1.642500114E1,-4.438125229E1,-6.112500191E0,4.771623283E1
2.077472239E0,-1.608750153E1,-4.479375076E1,-6.618750095E0,4.805305053E1
2.087472239E0,-1.563750076E1,-4.486875153E1,-6.656250477E0,4.797959946E1
2.097472239E0,-1.593750095E1,-4.500000000E1,-6.712500095E0,4.820852201E1
2.107472239E0,-1.434375095E1,-4.376250076E1,-9.300000191E0,4.698286569E1
2.117472239E0,-1.417500019E1,-4.389375305E1,-8.981250763E0,4.699207436E1
2.127472082E0,-1.402500057E1,-4.411875153E1,-8.925000191E0,4.714679741E1
2.137472082E0,-1.404375076E1,-4.443750000E1,-8.512500763E0,4.737489853E1
2.147472082E0,-1.423125076E1,-4.485000229E1,-8.062500000E0,4.773945025E1
2.157472082E0,-1.421250057E1,-4.471875000E1,-7.987500191E0,4.759791942E1
2.167472082E0,-1.436250019E1,-4.458750153E1,-7.800000191E0,4.748859555E1
